Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"我想你了","海来阿木","我想你了","Favorite Songs","Favorite","FRX202587012","5bkrqEUwl79eLdZvigYQ7z"
"枕着光的她","任素汐","枕着光的她","Favorite Songs","Favorite","HKD012282616","4vgvijWe7jeC03vjGskYe6"
"天路","韩红","天路","Favorite Songs","Favorite","HKD012558361","3z2ytF9uGXnTQtJSpYMzbS"
"故乡的月光","海来阿木","故乡的月光","Favorite Songs","Favorite","DGA0L2386609","0E5qIOmbbaZvPBbV5FiXgi"
"你的万水千山","海来阿木","你的万水千山","Favorite Songs","Favorite","HKG732018161","0yuforvUKN0zApPlcmfHZg"
"人间共鸣","Li Jian","人间共鸣","Favorite Songs","Favorite","HKD012767585","2yPlnVi5NMkNHyRQhPX7KV"
"追梦人 - Live","洋澜一","追梦人 (Live)","Favorite Songs","Favorite","HKG732450453","2zyHU6jDMrjBHxbRgeEoBh"
"Valse d'un printemps","Diaphane","Valse d'un printemps","Favorite Songs","Favorite","FR9W12609308","6rysgun4i96ZCIuKpef0M5"
"别说我的眼泪你无所谓（新版）","洋澜一","别说我的眼泪你无所谓（新版）","Favorite Songs","Favorite","HKD012788782","1909mZVxwb8CX7k2APIwxb"
"大悲咒全文八十四句 - 千手千眼無礙大悲心陀羅尼八十四句","釋法界","大悲咒全文八十四句 (千手千眼無礙大悲心陀羅尼八十四句)","Favorite Songs","Favorite","TWD419700001","6xkYdrVBNU2WCt56tMe3gF"
"I Will Survive - Edit Remix","Gloria Gaynor","I Will Survive (Remix)","Favorite Songs","Favorite","ITT4X2600009","019URPA8mnJ7xAegvb2SK1"
"Come Back To Me","Utada","This Is The One","Favorite Songs","Favorite","USUM70853296","6cJ7b3BbHuyqewQfqEcuTd"
"Forever Love","Leehom Wang","心中的日月","Favorite Songs","Favorite","TWA470473005","2gjE7iURty9r45rlgp6JT1"
"不該","Jay Chou","周杰倫的床邊故事","Favorite Songs","Favorite","TWK971601306","5miH0BWhRVTvHAwmnoeyXH"
"那些年","Hu Xia","燃點","Favorite Songs","Favorite","TWA471108014","3v8FOuA8jxAC5SOA2uN6Mg"
"我們的愛","F.I.R.","飛兒樂團","Favorite Songs","Favorite","TWA530401205","0Q4YuuiCuxIIKUw2fb1cmV"
"好久不見","Eason Chan","認了吧","Favorite Songs","Favorite","HKUM70700735","7qtM492xyqdbh2vt5vBKaD"
"大城小愛","Leehom Wang","蓋世英雄","Favorite Songs","Favorite","TWA470532006","0pzyN7Uy0bmDSsTs0iHuSC"
"慢慢喜歡你","Karen Mok","我們在中場相遇","Favorite Songs","Favorite","TWA471803002","79LVKCDq5n3N2k6dtWP4gP"
"楓","Jay Chou","11月的蕭邦","Favorite Songs","Favorite","TWK970500908","1pALOIA4ytESmhl7Fxjdic"
"我的歌声里 (You Exist In My Song)","Wanting","Everything In The World","Favorite Songs","Favorite","CAN111100643","3v2HEpwVgra20Iy6kZ9AWQ"
"愛錯","Leehom Wang","心中的日月","Favorite Songs","Favorite","TWA470473010","4vdX5mQE0oXkflFqsqQkUP"
"光輝歲月","Beyond","命運派對","Favorite Songs","Favorite","HKG079800103","2xsfwyT49o2OCoPieXMxQC"
"討厭紅樓夢","David Tao","黑色柳丁","Favorite Songs","Favorite","TWC210200005","7BHSV0J9IWich0yeU2g3H0"
"一路向北","Jay Chou","11月的蕭邦","Favorite Songs","Favorite","TWK970500902","7KoqEF76fGnDYdxTSHLxcm"
"小幸運","Hebe Tien","小幸運","Favorite Songs","Favorite","TWD951562101","1ZeVIrCWzEmsJexkrgvjFv"
"夜空中最亮的星","逃跑计划EscapePlan","世界","Favorite Songs","Favorite","CNZ502001755","7mP4bBFQgt6B3sJfqkIzt2"
"珊瑚海","Jay Chou","11月的蕭邦","Favorite Songs","Favorite","TWK970500912","3Qj9Fy8BPbWmICTiNkuqB7"
"你不知道的事","Leehom Wang","十八般武藝","Favorite Songs","Favorite","TWA471010004","3HH9pAwNfQVXYVUbmHxWwn"
"纸短情长","烟把儿乐队","纸短情长","Favorite Songs","Favorite","FR10S2147981","5cfcr39evQDFRVihTEcuUj"
"想你时风起 - 电视剧《我的人间烟火》回忆主题曲","單依純","想你时风起 (电视剧《我的人间烟火》回忆主题曲)","Favorite Songs","Favorite","DGA062336414","3oauI35ZN4vrbnr1mhNjf2"
"永不失联的爱","單依純","永不失联的爱","Favorite Songs","Favorite","TCAIM2458041","11jS7NW4FsxhBsodkaoMot"
"老男孩","筷子兄弟","父亲","Favorite Songs","Favorite","TWU711400205","3obsARE8dcVylLhsZUshvq"
"美人魚","JJ Lin","第二天堂","Favorite Songs","Favorite","TWB670401212","2ahydS3UcOoAF2usK3I1ph"
"雨下 (Beneath Falling Rain)","彭席彦","明末渊虚之羽 原声音乐 (WUCHANG: Fallen Feathers Soundtrack)","Favorite Songs","Favorite","HKG731426644","3PApHKTslWTiqZ3xB4S4xp"
"ReawakeR (feat. Felix of Stray Kids)","LiSA","ReawakeR (feat. Felix of Stray Kids)","Favorite Songs","Favorite","JPU902404328","2rOUaQ1TGj7wZdHdn9UgTL"
"Demon's Bane","Evan Call","Frieren: Beyond Journey's End Original Soundtrack","Favorite Songs","Favorite","JPV432300585","5pwqeBM9u6oLbB2jhqme3D"
"Knife to the Throat","Evan Call","Frieren: Beyond Journey's End Original Soundtrack","Favorite Songs","Favorite","JPV432300584","6PBQa0loIuv8y67rV2BU3D"
"Frieren the Slayer","Evan Call","Frieren: Beyond Journey's End Original Soundtrack","Favorite Songs","Favorite","JPV432300567","6pXF3zHKn8QRsERC1hsxDf"
"胡广生 - 电影《无名之辈》宣传推广曲","任素汐","胡广生 (电影《无名之辈》宣传推广曲)","Favorite Songs","Favorite","FRX452095680","7v4ZytCtQXYfsffkjYuYly"
"盗墓笔记·十年人间（八一七稻米节主题推广曲）","李常超","盗墓笔记·十年人间（八一七稻米节主题推广曲）","Favorite Songs","Favorite","HKG732348514","5rfizi4ekNre8Ydwd87akf"
